
100   6400000,1
199,999999984729   6400000,20097734
299,999999938916   6400000,30293203
399,99999984729   6400000,40586406
499,99999969458   6400000,50977344
599,999999465515   6400000,61466016
699,999999144824   6400000,72052422
799,999998717237   6400000,82736562
899,999998167481   6400000,93518437
999,999997480286   6400001,04398046
1099,99999664038   6400001,1537539
1199,9999956325   6400001,26450468
1299,99999444136   6400001,3762328
1399,9999930517   6400001,48893827
1499,99999144825   6400001,60262107
1599,99998961573   6400001,71728123
1699,99998753887   6400001,83291872
1799,99998520241   6400001,94953356
1899,99998259107   6400002,06712574
1999,99997968959   6400002,18569526
2099,99997648268   6400002,30524213
2199,99997295508   6400002,42576634
2299,99996909152   6400002,54726789
2399,99996487673   6400002,66974679
2499,99996029544   6400002,79320303
2599,99995533237   6400002,91763661
2699,99994997226   6400003,04304753
2799,99994419983   6400003,1694358
2899,99993799981   6400003,29680141
2999,99993135693   6400003,42514436
3099,99992425593   6400003,55446465
3199,99991668152   6400003,68476229
3299,99990861845   6400003,81603727
3399,99990005143   6400003,94828959
3499,9998909652   6400004,08151925
3599,99988134449   6400004,21572626
3699,99987117402   6400004,3509106
3799,99986043853   6400004,48707229
3899,99984912274   6400004,62421132
3999,99983721138   6400004,76232769
4099,99982468919   6400004,90142141
4199,99981154088   6400005,04149246
4299,9997977512   6400005,18254086
4399,99978330487   6400005,3245666
4499,99976818661   6400005,46756968
4599,99975238116   6400005,6115501
4699,99973587325   6400005,75650786
4799,99971864761   6400005,90244297
4899,99970068895   6400006,04935541
4999,99968198203   6400006,1972452
5099,99966251155   6400006,34611232
5199,99964226226   6400006,49595679
5299,99962121888   6400006,6467786
5399,99959936614   6400006,79857775
5499,99957668877   6400006,95135424
5599,9995531715   6400007,10510807
5699,99952879906   6400007,25983924
5799,99950355617   6400007,41554775
5899,99947742757   6400007,57223361
5999,99945039799   6400007,7298968
6099,99942245215   6400007,88853733
6199,99939357479   6400008,0481552
6299,99936375063   6400008,20875041
6399,9993329644   6400008,37032296
6499,99930120083   6400008,53287286
6599,99926844466   6400008,69640009
6699,9992346806   6400008,86090466
6799,99919989339   6400009,02638657
6899,99916406776   6400009,19284582
6999,99912718844   6400009,36028241
7099,99908924016   6400009,52869633
7199,99905020764   6400009,6980876
7299,99901007562   6400009,86845621
7399,99896882882   6400010,03980215
7499,99892645198   6400010,21212543
7599,99888292982   6400010,38542605
7699,99883824707   6400010,55970402
7799,99879238847   6400010,73495931
7899,99874533873   6400010,91119195
7999,9986970826   6400011,08840193
8099,9986476048   6400011,26658924
8199,99859689005   6400011,44575389
8299,9985449231   6400011,62589588
8399,99849168866   6400011,80701521
8499,99843717147   6400011,98911187
8599,99838135625   6400012,17218587
8699,99832422774   6400012,35623721
8799,99826577067   6400012,54126589
8899,99820596976   6400012,7272719
8999,99814480974   6400012,91425525
9099,99808227534   6400013,10221594
9199,9980183513   6400013,29115397
9299,99795302234   6400013,48106933
9399,99788627319   6400013,67196202
9499,99781808858   6400013,86383206
9599,99774845325   6400014,05667943
9699,99767735191   6400014,25050414
9799,9976047693   6400014,44530618
9899,99753069015   6400014,64108556
9999,99745509918   6400014,83784227
10099,9973779811   6400015,03557632
10199,9972993207   6400015,23428771
10299,9972191027   6400015,43397643
10399,9971373118   6400015,63464248
10499,9970539327   6400015,83628587
10599,9969689502   6400016,0389066
10699,996882349   6400016,24250466
10799,9967941137   6400016,44708006
10899,9967042293   6400016,65263279
10999,9966126803   6400016,85916285
11099,9965194516   6400017,06667025
11199,9964245278   6400017,27515498
11299,9963278936   6400017,48461705
11399,9962295339   6400017,69505645
11499,9961294332   6400017,90647318
11599,9960275765   6400018,11886725
11699,9959239483   6400018,33223865
11799,9958185335   6400018,54658739
11899,9957113167   6400018,76191346
